LANDSDEL;STORKREDS;PARTI;STEMMESEDDELNAVN
Hovedstaden;Københavns Storkreds;A;Halima El Abassi
Hovedstaden;Københavns Storkreds;A;Ida Auken
Hovedstaden;Københavns Storkreds;A;Jarl Feyling
Hovedstaden;Københavns Storkreds;A;Jørgen Mørup Pedersen
Hovedstaden;Københavns Storkreds;A;Lars Aslan Rasmussen
Hovedstaden;Københavns Storkreds;A;Lars Werge
Hovedstaden;Københavns Storkreds;A;Lone Larsen
Hovedstaden;Københavns Storkreds;A;Mette Reissmann
Hovedstaden;Københavns Storkreds;A;Nikoline Prehn
Hovedstaden;Københavns Storkreds;A;Pernille Rosenkrantz-Theil
Hovedstaden;Københavns Storkreds;A;Peter Hummelgaard
Hovedstaden;Københavns Storkreds;A;Yildiz Akdogan
Hovedstaden;Københavns Storkreds;B;Anders Højsted
Hovedstaden;Københavns Storkreds;B;Carolina Magdalene Maier
Hovedstaden;Københavns Storkreds;B;Clara Halvorsen
Hovedstaden;Københavns Storkreds;B;Emilie Normann
Hovedstaden;Københavns Storkreds;B;Jes Vissing Tiedemann
Hovedstaden;Københavns Storkreds;B;Klaus Bondam
Hovedstaden;Københavns Storkreds;B;Marie Kampmann
Hovedstaden;Københavns Storkreds;B;Michael Rachlin
Hovedstaden;Københavns Storkreds;B;Peter Zinckernagel
Hovedstaden;Københavns Storkreds;B;Ruben Kidde
Hovedstaden;Københavns Storkreds;B;Samira Nawa
Hovedstaden;Københavns Storkreds;B;Thomas Rohden
Hovedstaden;Københavns Storkreds;C;Allan Beier
Hovedstaden;Københavns Storkreds;C;Anders Havelund Krøyer
Hovedstaden;Københavns Storkreds;C;Casper Øhlers
Hovedstaden;Københavns Storkreds;C;Helle Bonnesen
Hovedstaden;Københavns Storkreds;C;Helle Jønch
Hovedstaden;Københavns Storkreds;C;Katarina Ammitzbøll
Hovedstaden;Københavns Storkreds;C;Laura Lindahl
Hovedstaden;Københavns Storkreds;C;Martin Wood Pedersen
Hovedstaden;Københavns Storkreds;C;Nicola Emily Larsen
Hovedstaden;Københavns Storkreds;C;Nikolaj Bøgh
Hovedstaden;Københavns Storkreds;C;Peter Stakemann
Hovedstaden;Københavns Storkreds;C;Rico Djernis
